algorithm,,max_iterations,calibration_samples,target_acceptance,population_size,mutation_rate,max_generations,local_search_max_iter,used_neigbourhoods,initial_score,final_score,improvement_abs,improvement_pct,,total_runtime_s
Simulated Annealing,,1000000,1000,0.15,,,,,,10641498.4,283731.26,10357767.14,97.3337283,,9
Simulated Annealing,,2000000,2000,0.25,,,,,,10641498.4,210454.32,10431044.08,98.02232438,,22
Simulated Annealing,,3000000,3000,0.35,,,,,,10641498.4,244355.4,10397143,97.70375007,,31
Variable Neighbourhood Search,,100,,,,,,30000,2,10641498.4,519700.66,10121797.74,95.11628306,,118
Variable Neighbourhood Search,,200,,,,,,50000,3,10641498.4,492944,10148554.4,95.36772002,,220
Variable Neighbourhood Search,,300,,,,,,80000,4,10641498.4,533905.13,10107593.27,94.9828012,,344
Genetic,,,,,80,0.01,300,,,10641498.4,10567447.69461909,74050.70851593,0.69586731,,7.22592115
Genetic,,,,,150,0.03,300,,,10641498.4,10314305.42078226,327192.98235277,3.07468901,,13.7371459
Genetic,,,,,250,0.07,300,,,10641498.4,9897258.17976902,744240.223366,6.99375403,,23.73577666
Genetic,,,,,300,0.07,1000,,,10641498.4,8307010.71297167,2334487.69016336,21.93758437,,98.28355193
Genetic,,,,,400,0.08,1500,,,10641498.4,6896436.43160729,3745061.97152773,35.19299472,,199.08206511
Genetic,,,,,500,0.10,2000,,,10641498.4,5529690.08504895,5111808.31808607,48.0365464,,338.01820302
